City_State_GeoCode
"New Haven, Connecticut"
"New London, Connecticut"
"New Orleans, Louisiana"
"New Richmond, Wisconsin"
"New York, New York"
"Newark, New Jersey"
"Newark, Ohio"
"Newburgh, New York"
"Newburyport, Massachusetts"
"Newport, Arkansas"
"Newport, Rhode Island"
"Newton, New Jersey"
"Norfolk, Virginia"
"Norristown, Pennsylvania"
"North Adams, Massachusetts"
"Northampton, Massachusetts"
"Norwalk, Ohio"
"Norwich, Connecticut"
"Norwich, New York"
"Ogdensburg, New York"
"Oil City, Pennsylvania"
"Olean, New York"
"Omaha, Nebraska"
"Oneida, New York"
"Oneonta, New York"
"Orange, New Jersey"
"Oshawa, Ontario"
"Oshkosh, Wisconsin"
"Oskaloosa, Iowa"
"Oswego, New York"
"Ottawa, Illinois"
"Ottawa, Kansas"
"Ottawa, Ontario"
"Ottumwa, Iowa"
"Owatonna, Minnesota"
"Owensboro, Kentucky"
"Palmer, Massachusetts"
"Paris, Texas"
"Parkersburg, West Virginia"
"Parsons, Kansas"
"Paterson, New Jersey"
"Penn Yan, New York"
"Peoria, Illinois"
"Peru, Indiana"
"Peterborough, Ontario"
"Philadelphia, Pennsylvania"
"Phillipsburg, Pennsylvania"
"Pine Bluff, Arkansas"
"Piqua, Ohio"
"Pittsburgh, Pennsylvania"
"Pittsfield, Massachusetts"
"Plainfield, New Jersey"
"Plattsburg, New York"
"Plymouth, New Hampshire"
"Pontiac, Michigan"
"Port Hope, Ontario"
"Port Huron, Michigan"
"Port Jervis, New York"
"Portage, Wisconsin"
"Portland, Maine"
"Portsmouth, New Hampshire"
"Portsmouth, Ohio"
"Potsdam, New York"
"Pottstown, Pennsylvania"
"Pottsville, Pennsylvania"
"Poughkeepsie, New York"
"Prairie du Chien, Wisconsin"
"Providence, Rhode Island"
"Quebec, Quebec"
"Quincy, Illinois"
"Racine, Wisconsin"
"Raleigh, North Carolina"
"Reading, Pennsylvania"
"Red Wing, Minnesota"
"Richmond, Indiana"
"Richmond, Virginia"
"Roanoke, Virginia"
"Rochester, Minnesota"
"Rochester, New York"
"Rock Island, Illinois"
"Rockford, Illinois"
"Rockland, Maine"
"Rome, Georgia"
"Rome, New York"
"Russellville, Arkansas"
"Rutland, Vermont"
"Saco, Maine"
"Salem, Massachusetts"
"Salem, New Jersey"
"San Antonio, Texas"
"Sandusky, Ohio"
"Saratoga Springs, New York"
"Sarnia, Ontario"
"Savannah, Georgia"
"Schenectady, New York"
"Scranton, Pennsylvania"
"Sedalia, Missouri"
"Selma, Alabama"
"Shamokin, Pennsylvania"
"Sharon, Pennsylvania"
"Sheboygan, Wisconsin"
"Shelbyville, Indiana"
"Shenandoah, Pennsylvania"
"Sherman, Texas"
"Sioux City, Iowa"
"Sioux Falls, South Dakota"
"Somerset, Pennsylvania"
"South Bend, Indiana"
"South Framingham, Massachusetts"
"Spartanburg, South Carolina"
"Springfield, Illinois"
"Springfield, Massachusetts"
"Springfield, Missouri"
"Springfield, Ohio"
"St. Albans, Vermont"
"St. Catharines, Ontario"
"St. John, New Brunswick"
"St. Johnsbury, Vermont"
"St. Joseph, Missouri"
"St. Louis, Missouri"
"St. Paul, Minnesota"
"St. Thomas, Ontario"
"Staunton, Virginia"
"Sterling, Illinois"
"Steubenville, Ohio"
"Stevens Point, Wisconsin"
"Stillwater, Minnesota"
"Stratford, Ontario"
"Streator, Illinois"
"Sunbury, Pennsylvania"
"Suspension Bridge, New York"
"Syracuse, New York"
"Tamaqua, Pennsylvania"
"Taunton, Massachusetts"
"Terre Haute, Indiana"
"Texarkana, Arkansas"
"Three Rivers, Michigan"
"Trois-Rivieres, Quebec"
"Tiffin, Ohio"
"Titusville, Pennsylvania"
"Toledo, Ohio"
"Topeka, Kansas"
"Toronto, Ontario"
"Towanda, Pennsylvania"
"Trenton, New Jersey"
