YEAR,Month,Route Date
1881,April,"22 Harrisburg,Pa."
1881,April,"23 Lancaster,Pa."
1881,May,"2 Scranton,Pa."
1881,May,"4 Reading,Pa."
1881,May,"5 Newark,N.J."
1881,May,"6 Paterson,N.J."
1881,May,"7 Jersey City,N.J."
1881,May,"16 Bridgeport,Conn."
1881,May,"17 Waterbury,Conn."
1881,May,"18 New Haven,Conn."
1881,May,"19 Meriden,Conn."
1881,May,"20 Hartford,Conn."
1881,May,"21 Holyoke,Mass."
1881,May,"23 Springfield,Mass."
1881,May,"24 Norwich,Conn."
1881,May,"25 Worcester,Mass."
1881,May,"26 Woonsocket,R.I."
1881,May,"27 Providence,R.I."
1881,May,"28 Fall River,Mass."
1881,May,"30 New Bedford,Mass."
1881,May,"31 Brockton,Mass."
1881,June,"1 Lowell,Mass."
1881,June,"2 Lawrence,Mass."
1881,June,"3 Salem,Mass."
1881,June,"4 Lynn,Mass."
1881,June,"13 Bangor,Me."
1881,June,"14 Augusta,Me."
1881,June,"15 Bath,Me."
1881,June,"16 Lewiston,Me."
1881,June,"17 Portland,Me."
1881,June,"18 Dover,N.H."
1881,June,"20 Haverhill,Mass."
1881,June,"21 Manchester,N.H."
1881,June,"22 Concord,N.H."
1881,June,"23 Nashua,N.H."
1881,June,"24 Fitchburg,Mass."
1881,June,"25 Greenfield,Mass."
1881,June,"27 Pittsfield,Mass."
1881,June,"28 Albany,N.Y."
1881,June,"29 Poughkeepsie,N.Y."
1881,June,"30 Troy,N.Y."
1881,July,"1 Saratoga Springs,N.Y."
1881,July,"2 Utica,N.Y."
1881,July,"4 Watertown,N.Y."
1881,July,"5 Syracuse,N.Y."
1881,July,"6 Auburn,N.Y."
1881,July,"7 Rochester,N.Y."
1881,July,8 Lockport.N.Y.
1881,July,"9 Buffalo,N.Y."
1881,July,"11 Detroit,Mich."
1881,July,"12 Ann Arbor,Mich."
1881,July,"13 Lansing,Mich."
1881,July,"14 Bay City,Mich."
1881,July,"15 East Saginaw,Mich."
1881,July,"16 Jackson,Mich."
1881,July,"18 Grand Rapids,Mich."
1881,July,"19 Muskegon,Mich."
1881,July,"20 Allegan,Mich."
1881,July,"21 Kalamazoo,Mich."
1881,July,"22 Battle Creek,Mich."
1881,July,"23 South Bend,Ind."
1881,July,"25 Kankakee,Ill."
1881,July,"26 Champaign,Ill."
1881,July,"27 Danville,Ill."
1881,July,"28 Terre Haute,Ind."
1881,July,"29 Vincennes,Ind."
1881,July,"30 Evansville,Ind."
1881,August,"1 Indianapolis,Ind."
1881,August,"2 Crawfordsville,Ind."
1881,August,"3 Lafayette,Ind."
1881,August,"4 Logansport,Ind."
1881,August,"5 Peru,Ind."
1881,August,"6 Ft.Wayne,Ind."
1881,August,"8 Toledo,O."
1881,August,"9 Norwalk,O."
1881,August,"10 Cleveland,O."
1881,August,"11 Youngstown,O."
1881,August,"12 Akron,O."
1881,August,"13 Canton,O."
1881,August,"17 Wheeling,W.Va."
1881,August,"18 Zanesville,O."
1881,August,"19 Columbus,O."
1881,August,"20 Chillicothe,O."
1881,August,"25 Dayton,O."
1881,August,"26 Springfield,O."
1881,August,"27 Richmond,Ind."
1881,September,"5 Aurora,Ill."
1881,September,"6 Ottawa,Ill."
1881,September,"7 Joliet,Ill."
1881,September,"8 Bloomington,Ill."
1881,September,"9 Springfield,Ill.,cancelled"
1881,September,"10 Decatur,Ill."
1881,September,"12 Peoria,Ill."
1881,September,"13 Galesburg,Ill."
1881,September,"14 Burlington,Ia."
1881,September,"15 Quincy,Ill."
1881,September,"16 Jacksonville,Ill."
1881,September,"17 Jerseyville,Ill."
1881,September,"26 Davenport,Ia."
1881,September,"27 Iowa City,Ia."
1881,September,"28 Rock Island,Ill."
1881,September,"29 Clinton,Ia."
1881,September,"30 Cedar Rapids,Ia."
1881,October,"1 Marshalltown,Ia.,cancelled"
1881,October,"3 Oskaloosa,Ia."
1881,October,"4 Des Moines,Ia."
1881,October,"5 Atlantic,Ia."
1881,October,"6 Council Bluffs,Ia."
1881,October,"7 Omaha,Neb."
1881,October,"8 Lincoln,Neb."
1881,October,"10 St.Joseph,Mo."
1881,October,"11 Atchison,Kan."
1881,October,"12 Topeka,Kan."
1881,October,"13 Lawrence,Kan."
1881,October,"14 Kansas City,Mo."
1881,October,"15 Ft.Scott,Kan."
1881,October,"17 Gainesville,Tex."
1881,October,"18 Greenville,Tex."
1881,October,"19 Mineola,Tex."
1881,October,"20 Denison,Tex."
1881,October,"21 Sherman,Tex."
1881,October,"22 Dallas,Tex."
1881,October,"24 Galveston,Tex."
1881,October,"25 Houston,Tex."
1881,October,"26 Navasota,Tex."
1881,October,"27 Bryan,Tex."
1881,October,"28 Brenham,Tex."
1881,October,"29 Austin,Tex.,cancelled"
1881,October,"31 Waco,Tex."
1881,November,"1 Marlin,Tex."
1881,November,"2 Calvert,Tex."
1881,November,"3 Corsicana,Tex."
1881,November,"4 Waxahachie,Tex."
1881,November,"5 McKinney,Tex."
1881,November,"7 Bonham,Tex."
1881,November,"8 Paris,Tex."
1881,November,"9 Texarkana,Ark."
1881,November,"10 Hope,Ark."
1881,November,"11 Little Rock,Ark."
1881,November,"12 Newport,Ark."
1881,November,"End of season,winter quarters Bridgeport,Conn."
1882,May,"6 York,Pa."
1882,May,"8 Pottsville,Pa."
1882,May,"9 Reading,Pa."
1882,May,"10 Allentown,Pa."
1882,May,"11 Easton,Pa.,cancelled"
1882,May,"13 Scranton,Pa."
1882,May,"15 Camden,N.J."
1882,May,"16 Trenton,N.J."
1882,May,"17 Newark,N.J."
1882,May,"18 Newburgh,N.Y."
1882,May,"19 Paterson,N.J."
1882,May,"20 Jersey City,N.J."
1882,May,"29 Danbury,Conn."
1882,May,"30 Waterbury,Conn."
1882,May,"31 Bridgeport,Conn."
1882,June,"1 New Haven,Conn."
1882,June,"2 Meriden,Conn."
1882,June,"3 New Britain,Conn."
1882,June,"5 Hartford,Conn."
1882,June,"6 Holyoke,Mass."
